Year,Total_Energy_US,Total_Energy_Europe,Total_Energy_China,Total_Energy_World,Total_Renewables_US,Total_Renewables_Europe,Total_Renewables_China,Total_Renewables_World,Oil_US,Oil_Europe,Oil_China,Oil_World,Gas_US,Gas_Europe,Gas_China,Gas_World,Coal_US,Coal_Europe,Coal_China,Coal_World,Nuclear_US,Nuclear_Europe,Nuclear_China,Nuclear_World,Hydro_US,Hydro_Europe,Hydro_China,Hydro_World,Solar_US,Solar_Europe,Solar_China,Solar_World,Wind_US,Wind_Europe,Wind_China,Wind_World,Other_Renew_US,Other_Renew_Europe,Other_Renew_China,Other_Renew_World
1980,74.58,72.08,17.48,279.46,3.09,4.91,0.58,17.81,34.18,33.66,3.64,128.08,19.21,10.11,0.52,51.26,15.46,21.19,12.74,75.09,2.64,2.37,0,7.12,2.82,4.65,0.58,17.32,0,0,0,0,0,0.000105,0,0.000105,0.27,0.27,0,0.49
1981,72.4,70.21,17.25,278.16,2.94,4.98,0.66,18.22,31.89,31.36,3.46,123.47,18.75,10.01,0.46,51.82,15.94,20.83,12.67,76.14,2.87,3.2,0,8.41,2.67,4.7,0.66,17.69,0,0,0,0,0,0.000105,0,0.000105,0.27,0.27,0,0.53
1982,69.38,68.89,18.01,276.46,3.42,4.93,0.74,18.62,30.19,29.84,3.42,119.51,17.43,9.82,0.43,52.09,15.36,20.95,13.41,76.98,2.98,3.52,0,9.12,3.16,4.66,0.74,18.01,0,0,0,0,0,0.000185,0,0.000185,0.26,0.26,0,0.61
1983,69.07,69.52,19.17,280.94,3.68,5.1,0.86,19.46,30.01,29.01,3.5,118.69,16.35,10.21,0.44,52.93,15.93,21.24,14.36,79.36,3.09,4.16,0,10.34,3.39,4.8,0.86,18.78,0.00003,0,0,0.00003,2.69E-05,0.000301,0,0.000327949,0.3,0.3,0,0.68
1984,72.74,71.32,20.56,294.42,3.63,5.21,0.87,20.17,31.09,29.18,3.63,121.46,17.47,10.7,0.45,57.25,17.11,21.21,15.62,82.8,3.45,5.28,0,12.55,3.28,4.85,0.87,19.41,5.30E-05,1.01E-05,0,6.31E-05,6.56E-05,0.000382,0,0.000447556,0.36,0.36,0,0.76
1985,72.56,85.29,22.24,302.23,3.24,5.39,0.92,20.58,30.96,32.64,3.8,121.64,16.81,14.5,0.47,58.54,17.52,26.06,17.05,86.35,4.04,6.96,0,14.89,2.87,5.03,0.92,19.8,0.000107374,1.01E-05,0,0.000117475,5.82E-05,0.000574,0,0.000642202,0.36,0.36,0,0.78
1986,73,86.73,23.31,308.88,3.36,5.25,0.95,20.92,32.23,33.64,4.04,125.29,15.75,14.87,0.5,59.11,17.3,25.84,17.83,87.32,4.36,7.39,0,15.95,2.97,4.86,0.95,20.07,0.000141737,1.01E-05,0,0.000151838,4.23E-05,0.001336,0,0.001388313,0.39,0.39,0,0.86
1987,75.48,88.49,25.14,319.66,2.98,5.72,1,21.26,32.9,33.8,4.3,127.8,16.75,15.52,0.5,62.21,18.05,26.05,19.34,90.76,4.79,7.69,0,17.35,2.55,5.3,1,20.34,0.00010603,0,0,0.00010603,3.58E-05,0.001908,0,0.001953768,0.43,0.43,0,0.92
1988,78.93,89.41,27,331.88,2.71,6.1,1.09,21.93,34.27,33.97,4.62,132.13,17.52,15.66,0.52,65.12,18.89,25.51,20.78,93.47,5.55,8.46,0,18.91,2.28,5.67,1.09,20.99,9.19E-05,1.01E-05,0,0.00010196,8.80E-06,0.003297,0,0.003315798,0.42,0.42,0,0.94
1989,80.81,89.08,28.33,338.31,3.26,5.43,1.18,21.95,34.25,33.85,4.84,134.28,18.61,16.09,0.55,67.93,19.11,25.2,21.77,94.37,5.57,8.87,0,19.45,2.75,4.94,1.18,20.88,0.002531323,9.09E-05,0,0.002622232,0.021333768,0.005154,0,0.026497768,0.49,0.49,0,1.04
1990,80.99,89.93,28.7,342.23,3.53,5.61,1.27,22.8,33.5,34.42,4.79,135.69,18.61,17.38,0.56,70.14,19.22,23.97,22.08,93.22,6.07,8.94,0,20,2.92,5.02,1.27,21.59,0.003707949,0.000125,0.00002,0.003882949,0.028167677,0.007794604,2.02E-05,0.036324705,0.57,0.57,0.00064,1.17
1991,80.88,88.63,30.15,344.63,3.51,5.75,1.25,23.36,32.79,33.94,5.18,135.69,19.02,17.59,0.56,71.91,19.04,22.58,23.16,92.31,6.45,9.18,0,20.96,2.87,5.13,1.25,22.09,0.004782529,0.000155,0.00002,0.005052029,0.029807586,0.00980028,9.09E-05,0.040867067,0.61,0.61,0.00064,1.22
1992,82.09,86.02,31.75,347.22,3.2,5.96,1.31,23.45,33.46,33.35,5.64,138.04,19.67,16.63,0.57,72.24,19.17,21.27,24.23,91.98,6.51,9.24,0,21.12,2.51,5.3,1.31,22.09,0.004088445,0.00027088,0.00003,0.004685851,0.029166899,0.015350481,0.001313131,0.04733212,0.65,0.65,0.00113,1.31
1993,83.81,84.31,34.19,349.63,3.5,6.2,1.52,24.83,33.75,32.37,6.23,137.16,20.16,16.71,0.61,72.97,19.88,19.87,25.81,92.43,6.42,9.61,0.02,21.85,2.79,5.5,1.52,23.41,0.004751619,0.00032383,0.00004,0.005566975,0.030361889,0.022848261,0.002121212,0.056975688,0.67,0.67,0.00117,1.35
